price,age,rating,state
644918,24,5,NE
646595,7,5,ND
500281,21,5,ND
502698,15,5,IA
721720,20,5,MN
547003,22,5,MO
638265,7,5,ND
651750,18,5,IL
625519,9,5,MN
694921,22,5,KS
583913,6,5,MN
714421,25,5,MN
742917,12,5,IA
522751,20,5,MN
611906,11,5,MN
503833,13,5,NE
734134,12,5,IN
737328,13,5,NE
647126,19,5,MI
717191,22,5,IA
516728,6,5,OH
667652,14,5,KS
606392,14,5,KS
538831,25,5,MN
740891,20,5,IA
683597,25,5,ND
615197,6,5,IL
590492,5,5,IL
473449,23,5,MN
541462,17,5,IL
542800,25,5,NE
722892,25,5,KS
658150,5,5,IA
574600,15,5,IA
740774,25,5,KS
558675,19,5,MO
747347,16,5,MN
564498,20,5,IL
476219,9,5,ND
640549,19,5,MN
573054,13,5,MN
559711,14,5,MN
529556,8,5,KS
559526,24,5,IA
584120,11,5,OH
510126,11,5,MN
574440,24,5,MN
739336,16,5,SD
512686,13,5,IL
730688,7,5,MI
492882,5,5,IL
624142,23,5,IN
585609,14,5,ND
631564,14,5,IL
795738,63,5,SD
654361,48,5,MN
857566,54,5,OH
926986,22,5,IN
717756,12,5,MO
884159,56,5,ND
757077,31,5,MN
683403,65,5,ND
699408,17,5,IL
622086,8,5,KS
760995,35,5,MI
889308,12,5,ND
785137,19,5,NE
693468,49,5,MO
833073,7,5,ND
803342,36,5,MI
879890,52,5,OH
622179,60,5,MN
918130,62,5,MI
939633,59,5,MO
746486,13,5,ND
834199,21,5,OH
826767,22,5,MI
923914,46,5,MN
897066,30,5,NE
893560,12,5,MN
737363,1,5,SD
834865,13,5,MO
877496,53,5,MN
910835,46,5,MN
704954,69,5,KS
710213,2,5,MN
820818,10,5,KS
803882,32,5,IL
769487,41,5,ND
885613,38,5,NE
740403,16,5,OH
850840,70,5,MN
878031,3,5,OH
907566,35,5,NE
620577,50,5,MO
